process_date,Currency,Buy,Sell
4/26/2026,Euro,61.6619,61.8464
4/23/2026,Euro,61.4426,61.6165
4/22/2026,Euro,60.9566,61.1280
4/21/2026,Euro,60.8464,61.0180
4/20/2026,Euro,61.0856,61.2607
4/19/2026,Euro,60.7798,60.9599
4/16/2026,Euro,60.9784,61.1455
4/15/2026,Euro,61.1985,61.3687
4/14/2026,Euro,61.8656,62.0278
4/9/2026,Euro,62.0322,62.1986
4/8/2026,Euro,62.3146,62.4893
4/7/2026,Euro,63.1676,63.3349
4/6/2026,Euro,62.7687,62.9387
4/5/2026,Euro,62.6725,62.8546
4/2/2026,Euro,62.5415,62.7083
4/1/2026,Euro,62.1685,62.3407
3/31/2026,Euro,62.6719,62.8356
3/30/2026,Euro,62.5996,62.7713
3/29/2026,Euro,61.5961,61.7787
3/26/2026,Euro,60.7947,60.9594
3/25/2026,Euro,60.9600,61.1280
3/24/2026,Euro,60.9988,61.1710
3/18/2026,Euro,60.3431,60.5127
3/17/2026,Euro,60.1780,60.3420
3/16/2026,Euro,60.0104,60.1810
3/15/2026,Euro,59.9196,60.0847
3/12/2026,Euro,60.5444,60.7095
3/11/2026,Euro,60.2659,60.4336
3/10/2026,Euro,60.4905,60.6740
3/9/2026,Euro,60.9641,61.1314
3/8/2026,Euro,60.5281,60.6953
3/5/2026,Euro,58.1380,58.3087
3/4/2026,Euro,58.2969,58.4702
3/3/2026,Euro,57.7407,57.9170
3/2/2026,Euro,57.7067,57.8756
3/1/2026,Euro,57.5116,57.6853
2/26/2026,Euro,56.4655,56.6395
2/25/2026,Euro,56.4048,56.5741
2/24/2026,Euro,56.3588,56.5333
2/23/2026,Euro,56.2383,56.3992
2/22/2026,Euro,56.2377,56.4170
2/19/2026,Euro,56.0139,56.1823
2/18/2026,Euro,55.5565,55.7256
2/17/2026,Euro,55.5493,55.7195
2/16/2026,Euro,55.4074,55.5782
2/15/2026,Euro,55.4314,55.6070
2/12/2026,Euro,55.5705,55.7395
2/11/2026,Euro,55.7113,55.8750
2/10/2026,Euro,55.7031,55.8691
2/9/2026,Euro,55.5916,55.7544
2/8/2026,Euro,55.4023,55.5689
2/5/2026,Euro,55.2803,55.4470
2/4/2026,Euro,55.3482,55.5096
2/3/2026,Euro,55.3139,55.4705
2/2/2026,Euro,55.7888,55.9627
2/1/2026,Euro,55.7611,55.9384
1/28/2026,Euro,56.0800,56.2491
1/27/2026,Euro,55.8756,56.0400
1/26/2026,Euro,55.7204,55.8856
1/25/2026,Euro,55.5825,55.7626
1/22/2026,Euro,55.0942,55.2616
1/21/2026,Euro,55.4325,55.5994
1/20/2026,Euro,55.6490,55.8171
1/19/2026,Euro,55.0564,55.2215
1/18/2026,Euro,54.8752,55.0487
1/15/2026,Euro,54.9229,55.0912
1/14/2026,Euro,55.0705,55.2414
1/13/2026,Euro,54.9012,55.0700
1/12/2026,Euro,54.9884,55.1519
1/11/2026,Euro,54.8477,55.0165
1/8/2026,Euro,55.1098,55.2742
1/6/2026,Euro,55.2565,55.4245
1/5/2026,Euro,55.1974,55.3608
1/4/2026,Euro,55.7048,55.8663
12/31/2025,Euro,55.9255,56.0923
