Date,Headline (m/m),Core (m/m),Regulated Items (m/m),Fruits and Vegetables (m/m)
Mar 2026,3.200%,2.000%,3.400%,16.800%
Feb 2026,2.800%,3.000%,2.300%,2.600%
Jan 2026,1.200%,1.200%,0.400%,3.700%
Dec 2025,0.200%,0.200%,0.600%,-1.600%
Nov 2025,0.300%,0.800%,2.300%,-11.700%
Oct 2025,1.800%,2.000%,0.200%,5.000%
Sep 2025,1.800%,1.500%,0.300%,11.000%
Aug 2025,0.400%,0.100%,0.200%,4.800%
Jul 2025,-0.500%,-0.300%,2.100%,-11.500%
Jun 2025,-0.100%,-0.200%,0.600%,-1.800%
May 2025,1.900%,1.600%,1.100%,7.000%
Apr 2025,1.300%,1.200%,4.000%,-5.500%
Mar 2025,1.650%,0.870%,0.020%,17.900%
Feb 2025,1.390%,1.630%,2.600%,-5.680%
Jan 2025,1.510%,1.690%,1.140%,0.660%
