Date,Currency,Buy,Sell
4/26/2026,Saudi Riyal,14.0302,14.0682
4/23/2026,Saudi Riyal,14.0130,14.0510
4/22/2026,Saudi Riyal,13.8500,13.8869
4/21/2026,Saudi Riyal,13.7881,13.8254
4/20/2026,Saudi Riyal,13.8417,13.8797
4/19/2026,Saudi Riyal,13.7748,13.8135
4/16/2026,Saudi Riyal,13.7948,13.8322
4/15/2026,Saudi Riyal,13.8431,13.8807
4/14/2026,Saudi Riyal,13.9740,14.0102
4/9/2026,Saudi Riyal,14.1424,14.1794
4/8/2026,Saudi Riyal,14.1913,14.2302
4/7/2026,Saudi Riyal,14.5530,14.5918
4/6/2026,Saudi Riyal,14.4811,14.5209
4/5/2026,Saudi Riyal,14.4945,14.5335
4/2/2026,Saudi Riyal,14.4643,14.5023
4/1/2026,Saudi Riyal,14.2684,14.3086
3/31/2026,Saudi Riyal,14.5293,14.5676
3/30/2026,Saudi Riyal,14.5248,14.5637
3/29/2026,Saudi Riyal,14.2641,14.3022
3/26/2026,Saudi Riyal,14.0600,14.0984
3/25/2026,Saudi Riyal,13.9986,14.0363
3/24/2026,Saudi Riyal,14.0175,14.0569
3/18/2026,Saudi Riyal,13.9255,13.9645
3/17/2026,Saudi Riyal,13.9249,13.9632
3/16/2026,Saudi Riyal,13.9398,13.9777
3/15/2026,Saudi Riyal,13.9873,14.0254
3/12/2026,Saudi Riyal,13.9580,13.9971
3/11/2026,Saudi Riyal,13.8359,13.8740
3/10/2026,Saudi Riyal,13.8333,13.8742
3/9/2026,Saudi Riyal,14.0443,14.0812
3/8/2026,Saudi Riyal,13.8804,13.9190
3/5/2026,Saudi Riyal,13.3435,13.3825
3/4/2026,Saudi Riyal,13.3501,13.3903
3/3/2026,Saudi Riyal,13.2749,13.3127
3/2/2026,Saudi Riyal,13.0932,13.1388
3/1/2026,Saudi Riyal,12.9792,13.0169
2/26/2026,Saudi Riyal,12.7599,12.7978
2/25/2026,Saudi Riyal,12.7638,12.8006
2/24/2026,Saudi Riyal,12.7497,12.7877
2/23/2026,Saudi Riyal,12.7064,12.7437
2/22/2026,Saudi Riyal,12.7256,12.7646
2/19/2026,Saudi Riyal,12.6697,12.7074
2/18/2026,Saudi Riyal,12.5164,12.5540
2/17/2026,Saudi Riyal,12.5203,12.5583
2/16/2026,Saudi Riyal,12.4550,12.4930
2/15/2026,Saudi Riyal,12.4548,12.4918
2/12/2026,Saudi Riyal,12.4672,12.5036
2/11/2026,Saudi Riyal,12.4743,12.5105
2/10/2026,Saudi Riyal,12.4767,12.5124
2/9/2026,Saudi Riyal,12.4838,12.5207
2/8/2026,Saudi Riyal,12.5023,12.5385
2/5/2026,Saudi Riyal,12.5037,12.5410
2/4/2026,Saudi Riyal,12.4958,12.5318
2/3/2026,Saudi Riyal,12.5134,12.5485
2/2/2026,Saudi Riyal,12.5355,12.5731
2/1/2026,Saudi Riyal,12.5473,12.5843
1/28/2026,Saudi Riyal,12.4911,12.5284
1/27/2026,Saudi Riyal,12.5264,12.5629
1/26/2026,Saudi Riyal,12.5348,12.5716
1/25/2026,Saudi Riyal,12.5331,12.5701
