process_date,Gold_Ounce_USD,Gold_Gram_USD,Gold_24K,Gold_21K,Gold_18K
2025-01-02,2658.9,85.486,85.486,74.8,64.114
2025-01-03,2645.0,85.039,85.039,74.409,63.779
2025-01-06,2638.4,84.826,84.826,74.223,63.62
2025-01-07,2656.7,85.415,85.415,74.738,64.061
2025-01-08,2664.5,85.666,85.666,74.957,64.249
2025-01-09,2683.8,86.286,86.286,75.5,64.715
2025-01-10,2708.5,87.08,87.08,76.195,65.31
2025-01-13,2673.5,85.955,85.955,75.211,64.466
2025-01-14,2677.5,86.084,86.084,75.323,64.563
2025-01-15,2712.5,87.209,87.209,76.308,65.407
2025-01-16,2746.4,88.299,88.299,77.261,66.224
2025-01-17,2744.3,88.231,88.231,77.202,66.173
2025-01-21,2755.0,88.575,88.575,77.503,66.431
2025-01-22,2767.6,88.98,88.98,77.858,66.735
2025-01-23,2763.1,88.836,88.836,77.731,66.627
2025-01-24,2777.3,89.292,89.292,78.131,66.969
2025-01-27,2737.5,88.013,88.013,77.011,66.009
2025-01-28,2766.8,88.955,88.955,77.835,66.716
2025-01-29,2769.1,89.029,89.029,77.9,66.771
2025-01-30,2823.0,90.761,90.761,79.416,68.071
2025-01-31,2812.5,90.424,90.424,79.121,67.818
2025-02-03,2833.9,91.112,91.112,79.723,68.334
2025-02-04,2853.3,91.736,91.736,80.269,68.802
2025-02-05,2871.6,92.324,92.324,80.784,69.243
2025-02-06,2856.0,91.822,91.822,80.345,68.867
2025-02-07,2867.3,92.186,92.186,80.663,69.139
2025-02-10,2914.3,93.697,93.697,81.985,70.273
2025-02-11,2912.5,93.639,93.639,81.934,70.229
2025-02-12,2909.0,93.526,93.526,81.836,70.145
2025-02-13,2925.9,94.07,94.07,82.311,70.552
2025-02-14,2883.6,92.71,92.71,81.121,69.532
2025-02-18,2931.6,94.253,94.253,82.471,70.69
2025-02-19,2919.4,93.861,93.861,82.128,70.396
2025-02-20,2940.0,94.523,94.523,82.708,70.892
2025-02-21,2937.6,94.446,94.446,82.64,70.834
2025-02-24,2947.9,94.777,94.777,82.93,71.083
2025-02-25,2904.5,93.382,93.382,81.709,70.036
2025-02-26,2916.8,93.777,93.777,82.055,70.333
2025-02-27,2883.2,92.697,92.697,81.11,69.523
2025-02-28,2836.8,91.205,91.205,79.805,68.404
2025-03-03,2890.2,92.922,92.922,81.307,69.692
2025-03-04,2909.6,93.546,93.546,81.853,70.159
2025-03-05,2915.3,93.729,93.729,82.013,70.297
2025-03-06,2916.6,93.771,93.771,82.049,70.328
2025-03-07,2904.7,93.388,93.388,81.715,70.041
2025-03-10,2891.0,92.948,92.948,81.329,69.711
2025-03-11,2912.9,93.652,93.652,81.945,70.239
2025-03-12,2939.1,94.494,94.494,82.682,70.871
2025-03-13,2984.3,95.947,95.947,83.954,71.961
2025-03-14,2994.5,96.275,96.275,84.241,72.207
2025-03-17,3000.0,96.452,96.452,84.396,72.339
2025-03-18,3035.1,97.581,97.581,85.383,73.185
2025-03-19,3035.9,97.606,97.606,85.406,73.205
2025-03-20,3040.0,97.738,97.738,85.521,73.304
2025-03-21,3018.2,97.037,97.037,84.908,72.778
2025-03-24,3013.1,96.873,96.873,84.764,72.655
2025-03-25,3023.7,97.214,97.214,85.062,72.911
2025-03-26,3020.9,97.124,97.124,84.984,72.843
2025-03-27,3060.2,98.388,98.388,86.089,73.791
2025-03-28,3086.5,99.233,99.233,86.829,74.425
2025-03-31,3122.8,100.4,100.4,87.85,75.3
2025-04-01,3118.9,100.275,100.275,87.741,75.206
2025-04-02,3139.9,100.95,100.95,88.331,75.713
2025-04-03,3097.0,99.571,99.571,87.124,74.678
2025-04-04,3012.0,96.838,96.838,84.733,72.628
2025-04-07,2951.3,94.886,94.886,83.026,71.165
2025-04-08,2968.4,95.436,95.436,83.507,71.577
2025-04-09,3056.5,98.269,98.269,85.985,73.702
2025-04-10,3155.2,101.442,101.442,88.762,76.081
2025-04-11,3222.2,103.596,103.596,90.647,77.697
2025-04-14,3204.8,103.037,103.037,90.157,77.277
2025-04-15,3218.7,103.484,103.484,90.548,77.613
2025-04-16,3326.6,106.953,106.953,93.584,80.214
2025-04-17,3308.7,106.377,106.377,93.08,79.783
2025-04-21,3406.2,109.512,109.512,95.823,82.134
2025-04-22,3400.8,109.338,109.338,95.671,82.004
2025-04-23,3276.3,105.335,105.335,92.168,79.002
2025-04-24,3332.0,107.126,107.126,93.735,80.345
2025-04-25,3282.4,105.532,105.532,92.34,79.149
2025-04-28,3332.5,107.142,107.142,93.749,80.357
2025-04-29,3318.8,106.702,106.702,93.364,80.026
2025-04-30,3305.0,106.258,106.258,92.976,79.694
2025-05-01,3210.0,103.204,103.204,90.303,77.403
2025-05-02,3231.9,103.908,103.908,90.919,77.931
2025-05-05,3311.3,106.461,106.461,93.153,79.846
2025-05-06,3411.4,109.679,109.679,95.969,82.259
2025-05-07,3381.4,108.714,108.714,95.125,81.536
2025-05-08,3296.6,105.988,105.988,92.74,79.491
2025-05-09,3335.4,107.236,107.236,93.831,80.427
2025-05-12,3220.0,103.525,103.525,90.585,77.644
2025-05-13,3240.3,104.178,104.178,91.156,78.133
2025-05-14,3181.4,102.284,102.284,89.499,76.713
2025-05-15,3220.7,103.548,103.548,90.604,77.661
2025-05-16,3182.0,102.304,102.304,89.516,76.728
2025-05-19,3228.9,103.811,103.811,90.835,77.859
2025-05-20,3280.3,105.464,105.464,92.281,79.098
2025-05-21,3309.3,106.396,106.396,93.097,79.797
2025-05-22,3292.3,105.85,105.85,92.619,79.387
2025-05-23,3363.6,108.142,108.142,94.624,81.107
2025-05-27,3299.1,106.068,106.068,92.81,79.551
2025-05-28,3293.6,105.892,105.892,92.655,79.419
2025-05-29,3317.1,106.647,106.647,93.316,79.985
2025-05-30,3288.9,105.741,105.741,92.523,79.305
2025-06-02,3370.6,108.367,108.367,94.821,81.275
2025-06-03,3350.2,107.711,107.711,94.247,80.784
2025-06-04,3373.5,108.46,108.46,94.903,81.345
2025-06-05,3350.7,107.727,107.727,94.261,80.796
2025-06-06,3322.7,106.827,106.827,93.474,80.12
2025-06-09,3332.1,107.129,107.129,93.738,80.347
2025-06-10,3320.9,106.769,106.769,93.423,80.077
2025-06-11,3321.3,106.782,106.782,93.434,80.087
2025-06-12,3380.9,108.698,108.698,95.111,81.524
2025-06-13,3431.2,110.316,110.316,96.526,82.737
2025-06-16,3396.4,109.197,109.197,95.547,81.898
2025-06-17,3386.6,108.882,108.882,95.271,81.661
2025-06-18,3389.8,108.985,108.985,95.361,81.738
2025-06-20,3368.1,108.287,108.287,94.751,81.215
2025-06-23,3377.7,108.595,108.595,95.021,81.447
2025-06-24,3317.4,106.657,106.657,93.325,79.993
2025-06-25,3327.1,106.969,106.969,93.598,80.227
2025-06-26,3333.5,107.174,107.174,93.778,80.381
2025-06-27,3273.7,105.252,105.252,92.095,78.939
2025-06-30,3294.4,105.917,105.917,92.678,79.438
2025-07-01,3336.7,107.277,107.277,93.868,80.458
2025-07-02,3348.0,107.641,107.641,94.186,80.73
2025-07-03,3331.6,107.113,107.113,93.724,80.335
2025-07-04,3332.5,107.142,107.142,93.749,80.357
2025-07-07,3332.2,107.133,107.133,93.741,80.349
2025-07-08,3307.0,106.322,106.322,93.032,79.742
2025-07-09,3311.6,106.47,106.47,93.162,79.853
2025-07-10,3317.4,106.657,106.657,93.325,79.993
2025-07-11,3356.0,107.898,107.898,94.411,80.923
2025-07-14,3351.5,107.753,107.753,94.284,80.815
2025-07-15,3329.8,107.055,107.055,93.674,80.292
2025-07-16,3352.5,107.785,107.785,94.312,80.839
2025-07-17,3340.1,107.387,107.387,93.963,80.54
2025-07-18,3353.0,107.801,107.801,94.326,80.851
2025-07-21,3401.9,109.374,109.374,95.702,82.03
2025-07-22,3439.2,110.573,110.573,96.751,82.93
2025-07-23,3394.1,109.123,109.123,95.482,81.842
2025-07-24,3371.0,108.38,108.38,94.833,81.285
2025-07-25,3334.0,107.191,107.191,93.792,80.393
2025-07-28,3309.1,106.39,106.39,93.091,79.792
2025-07-29,3323.4,106.85,106.85,93.493,80.137
2025-07-30,3295.8,105.962,105.962,92.717,79.472
2025-07-31,3293.2,105.879,105.879,92.644,79.409
2025-08-01,3347.7,107.631,107.631,94.177,80.723
2025-08-04,3374.4,108.489,108.489,94.928,81.367
2025-08-05,3381.9,108.731,108.731,95.139,81.548
2025-08-06,3380.0,108.669,108.669,95.086,81.502
2025-08-07,3400.3,109.322,109.322,95.657,81.992
